"E-8 City/County/State Population and Housing Estimates, 4/1/1990 to 4/1/2000",,,,,,,,,,,
,,------------POPULATION------------,,,---------------------------------- HOUSING UNITS ----------------------------------,,,,,,PERSONS PER HOUSEHOLD
,1/1/1992,"41,123","40,530",593,"30,825","16,304","12,227","2,294","19,109",38.01%,2.121
,1/1/1993,"41,543","40,938",605,"30,938","16,276","12,375","2,287","19,349",37.46%,2.116
,1/1/1994,"41,465","40,847",618,"30,864","16,250","12,334","2,280","19,473",36.91%,2.098
,1/1/1995,"41,058","40,428",630,"30,881","16,221","12,387","2,273","19,656",36.35%,2.057
,1/1/1996,"41,341","40,698",643,"30,898","16,188","12,444","2,266","19,836",35.80%,2.052
,1/1/1997,"41,715","41,060",655,"30,841","16,180","12,403","2,258","19,972",35.24%,2.056
,1/1/1998,"42,055","41,387",668,"30,818","16,210","12,357","2,251","20,129",34.68%,2.056
,1/1/1999,"42,392","41,712",680,"30,778","16,219","12,315","2,244","20,275",34.13%,2.057
,1/1/2000,"42,748","42,055",693,"30,800","16,237","12,326","2,237","20,460",33.57%,2.055
,4/1/2000,"42,805","42,109",696,"30,822","16,271","12,316","2,235","20,515",33.44%,2.053
,,,,,,,,,,,
Riverside,4/1/1990,"21,500","21,289",211,"7,780","4,751","1,315","1,713","6,742",13.34%,3.158
Perris,1/1/1991,"24,241","24,026",215,"8,516","5,429","1,314","1,773","7,431",12.74%,3.233
,1/1/1992,"27,556","27,325",231,"9,223","5,966","1,490","1,767","8,112",12.05%,3.368
,1/1/1993,"29,456","29,225",231,"9,636","6,336","1,541","1,759","8,537",11.41%,3.423
,1/1/1994,"31,113","30,882",231,"9,959","6,670","1,535","1,754","8,888",10.75%,3.475
,1/1/1995,"32,131","31,900",231,"9,999","6,720","1,528","1,751","8,994",10.05%,3.547
,1/1/1996,"32,723","32,491",232,"10,021","6,765","1,517","1,739","9,085",9.34%,3.576
,1/1/1997,"33,149","32,917",232,"10,121","6,884","1,509","1,728","9,043",10.65%,3.640
,1/1/1998,"34,019","33,787",232,"10,215","6,991","1,502","1,722","9,195",9.99%,3.674
,1/1/1999,"35,015","34,783",232,"10,332","7,128","1,494","1,710","9,372",9.29%,3.711
,1/1/2000,"36,063","35,831",232,"10,483","7,297","1,487","1,699","9,573",8.68%,3.743
,4/1/2000,"36,189","35,957",232,"10,553","7,370","1,485","1,698","9,652",8.54%,3.725
,,,,,,,,,,,
Riverside,4/1/1990,"9,778","9,548",230,"9,360","6,871","1,403","1,086","4,833",48.37%,1.976
Rancho Mirage,1/1/1991,"10,040","9,822",218,"9,533","6,945","1,433","1,155","4,975",47.81%,1.974
,1/1/1992,"10,527","10,326",201,"9,758","7,070","1,441","1,247","5,163",47.09%,2.000
,1/1/1993,"10,773","10,589",184,"9,947","7,129","1,480","1,338","5,331",46.41%,1.986
,1/1/1994,"10,995","10,827",168,"10,068","7,140","1,498","1,430","5,464",45.73%,1.982
,1/1/1995,"11,078","10,927",151,"10,247","7,191","1,534","1,522","5,629",45.07%,1.941
,1/1/1996,"11,298","11,163",135,"10,403","7,222","1,567","1,614","5,780",44.44%,1.931
,1/1/1997,"11,643","11,525",118,"10,624","7,311","1,607","1,706","5,965",43.85%,1.932
,1/1/1998,"12,015","11,914",101,"10,900","7,456","1,647","1,797","6,180",43.30%,1.928
,1/1/1999,"12,559","12,448",111,"11,299","7,727","1,690","1,882","6,457",42.85%,1.928
,1/1/2000,"13,160","13,019",141,"11,739","8,012","1,753","1,974","6,755",42.46%,1.927
,4/1/2000,"13,249","13,112",137,"11,816","8,056","1,761","1,999","6,813",42.34%,1.925
,,,,,,,,,,,
Riverside,4/1/1990,"226,546","220,377","6,169","80,260","53,688","24,471","2,102","75,482",5.95%,2.920
Riverside,1/1/1991,"227,496","221,041","6,455","80,784","54,238","24,426","2,120","76,061",5.85%,2.906
,1/1/1992,"233,555","227,031","6,524","81,688","54,806","24,739","2,143","77,026",5.71%,2.947
,1/1/1993,"236,452","229,933","6,519","82,367","55,360","24,840","2,167","77,779",5.57%,2.956
,1/1/1994,"238,112","231,396","6,716","82,833","55,881","24,762","2,190","78,335",5.43%,2.954
,1/1/1995,"239,066","232,177","6,889","83,144","56,234","24,671","2,239","78,740",5.30%,2.949
,1/1/1996,"240,629","233,427","7,202","83,294","56,516","24,516","2,262","78,996",5.16%,2.955
,1/1/1997,"243,352","236,228","7,124","83,593","56,772","24,535","2,286","79,392",5.03%,2.975
,1/1/1998,"246,469","238,941","7,528","84,036","57,137","24,590","2,309","79,923",4.89%,2.990
,1/1/1999,"250,385","242,765","7,620","84,811","57,693","24,785","2,333","80,767",4.77%,3.006
,1/1/2000,"254,212","246,434","7,778","85,652","58,333","24,963","2,356","81,673",4.65%,3.017
,4/1/2000,"255,166","247,368","7,798","85,974","58,669","24,924","2,381","82,005",4.62%,3.016
,,,,,,,,,,,
Riverside,4/1/1990,"16,210","15,977",233,"6,845","3,603","1,073","2,169","6,022",12.02%,2.653
San Jacinto,1/1/1991,"17,492","17,309",183,"7,349","4,085","1,077","2,187","6,463",12.06%,2.678
,1/1/1992,"20,093","19,908",185,"7,860","4,528","1,122","2,210","6,909",12.10%,2.881
,1/1/1993,"21,106","20,920",186,"8,227","4,812","1,181","2,234","7,229",12.13%,2.894
,1/1/1994,"22,555","22,366",189,"8,745","5,172","1,186","2,387","7,692",12.04%,2.908
,1/1/1995,"22,296","22,081",215,"8,799","5,175","1,193","2,431","7,735",12.09%,2.855
,1/1/1996,"22,392","22,175",217,"8,878","5,223","1,201","2,454","7,801",12.13%,2.843
,1/1/1997,"22,582","22,364",218,"8,954","5,258","1,205","2,491","7,864",12.17%,2.844
,1/1/1998,"22,737","22,517",220,"9,024","5,282","1,209","2,533","7,924",12.19%,2.842
,1/1/1999,"22,970","22,782",188,"9,134","5,365","1,213","2,556","8,017",12.23%,2.842
,1/1/2000,"23,466","23,276",190,"9,343","5,547","1,216","2,580","8,198",12.26%,2.839
,4/1/2000,"23,779","23,589",190,"9,476","5,670","1,217","2,589","8,314",12.26%,2.837
,,,,,,,,,,,
Riverside,4/1/1990,"27,099","27,087",12,"10,659","7,314","3,070",275,"9,130",14.34%,2.967
Temecula,1/1/1991,"27,416","27,403",13,"10,779","7,437","3,064",278,"9,378",13.00%,2.922
,1/1/1992,"31,622","31,608",14,"11,844","8,382","3,179",283,"10,483",11.49%,3.015
,1/1/1993,"34,137","34,122",15,"12,261","8,738","3,236",287,"11,034",10.01%,3.092
,1/1/1994,"36,953","36,937",16,"13,085","9,565","3,228",292,"11,933",8.80%,3.095
,1/1/1995,"40,775","40,758",17,"14,192","10,676","3,220",296,"13,075",7.87%,3.117
,1/1/1996,"43,601","43,583",18,"15,044","11,531","3,212",301,"13,998",6.95%,3.114
,1/1/1997,"46,091","46,072",19,"15,690","12,181","3,204",305,"14,745",6.02%,3.125
,1/1/1998,"48,817","48,797",20,"16,450","12,944","3,196",310,"15,588",5.24%,3.130
,1/1/1999,"51,568","51,547",21,"17,195","13,685","3,196",314,"16,420",4.51%,3.139
,1/1/2000,"56,607","56,585",22,"18,744","14,716","3,708",320,"17,940",4.29%,3.154
,4/1/2000,"57,716","57,694",22,"19,099","14,926","3,852",321,"18,293",4.22%,3.154
,,,,,,,,,,,
Riverside,4/1/1990,"785,029","769,578","15,451","322,490","211,452","83,518","27,519","268,168",16.84%,2.870
Incorporated,1/1/1991,"830,640","814,728","15,912","340,158","225,700","85,477","28,981","284,571",16.34%,2.863
,1/1/1992,"909,388","890,020","19,368","362,307","241,154","90,232","30,921","304,539",15.94%,2.923
,1/1/1993,"936,609","916,559","20,050","370,196","247,003","92,084","31,109","312,363",15.62%,2.934
,1/1/1994,"956,722","935,983","20,739","375,341","252,055","91,823","31,463","318,454",15.16%,2.939
,1/1/1995,"980,004","955,755","24,249","384,930","260,560","92,813","31,557","326,770",15.11%,2.925
,1/1/1996,"1,000,749","974,932","25,817","390,209","265,725","92,586","31,898","332,849",14.70%,2.929
,1/1/1997,"1,026,943","1,000,557","26,386","396,410","271,415","92,608","32,387","339,511",14.35%,2.947
,1/1/1998,"1,053,970","1,026,736","27,234","404,290","276,907","92,568","34,815","347,866",13.96%,2.952
,1/1/1999,"1,085,802","1,058,864","26,938","413,494","284,718","92,885","35,891","357,256",13.60%,2.964
,1/1/2000,"1,117,163","1,089,496","27,667","422,611","292,461","94,091","36,059","366,278",13.33%,2.975
,4/1/2000,"1,124,666","1,096,897","27,769","425,288","294,867","94,242","36,179","368,889",13.26%,2.974
,,,,,,,,,,,
Riverside,4/1/1990,"385,384","376,031","9,353","161,357","101,515","12,801","47,042","133,899",17.02%,2.808
Balance of County,1/1/1991,"390,617","380,478","10,139","160,700","100,703","13,053","46,944","133,529",16.91%,2.849
,1/1/1992,"366,096","358,936","7,160","150,523","93,030","11,291","46,202","125,882",16.37%,2.851
,1/1/1993,"375,732","368,389","7,343","152,262","94,023","11,187","47,052","128,150",15.84%,2.875
,1/1/1994,"383,492","375,951","7,541","154,917","96,111","11,050","47,756","130,578",15.71%,2.879
,1/1/1995,"385,452","378,207","7,245","152,693","94,394","9,771","48,528","130,649",14.44%,2.895
,1/1/1996,"391,095","384,122","6,973","153,989","95,583","9,738","48,668","131,969",14.30%,2.911
,1/1/1997,"393,630","387,433","6,197","154,730","96,681","9,449","48,600","131,802",14.82%,2.940
,1/1/1998,"397,401","391,104","6,297","154,197","98,093","9,313","46,791","131,619",14.64%,2.971
,1/1/1999,"404,672","398,242","6,430","154,598","99,508","8,896","46,194","132,993",13.97%,2.994
,1/1/2000,"417,962","411,407","6,555","158,478","103,117","8,827","46,534","136,504",13.87%,3.014
,4/1/2000,"420,721","414,137","6,584","159,386","103,885","8,792","46,709","137,329",13.84%,3.016
,,,,,,,,,,,
Riverside,4/1/1990,"1,170,413","1,145,609","24,804","483,847","312,967","96,319","74,561","402,067",16.90%,2.849
County Total,1/1/1991,"1,221,257","1,195,206","26,051","500,858","326,403","98,530","75,925","418,100",16.52%,2.859
,1/1/1992,"1,275,484","1,248,956","26,528","512,830","334,184","101,523","77,123","430,421",16.07%,2.902
,1/1/1993,"1,312,341","1,284,948","27,393","522,458","341,026","103,271","78,161","440,513",15.68%,2.917
,1/1/1994,"1,340,214","1,311,934","28,280","530,258","348,166","102,873","79,219","449,032",15.32%,2.922
,1/1/1995,"1,365,456","1,333,962","31,494","537,623","354,954","102,584","80,085","457,419",14.92%,2.916
,1/1/1996,"1,391,844","1,359,054","32,790","544,198","361,308","102,324","80,566","464,818",14.59%,2.924
,1/1/1997,"1,420,573","1,387,990","32,583","551,140","368,096","102,057","80,987","471,313",14.48%,2.945
,1/1/1998,"1,451,371","1,417,840","33,531","558,487","375,000","101,881","81,606","479,485",14.15%,2.957
,1/1/1999,"1,490,474","1,457,106","33,368","568,092","384,226","101,781","82,085","490,249",13.70%,2.972
,1/1/2000,"1,535,125","1,500,903","34,222","581,089","395,578","102,918","82,593","502,782",13.48%,2.985
,4/1/2000,"1,545,387","1,511,034","34,353","584,674","398,752","103,034","82,888","506,218",13.42%,2.985
,,,,,,,,,,,
Sacramento,4/1/1990,0,0,0,0,0,0,0,0,0.00%,0.000
Citrus Heights,1/1/1991,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/1992,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/1993,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/1994,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/1995,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/1996,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/1997,"83,215","82,577",638,"34,537","22,669","10,004","1,864","33,015",4.41%,2.501
,1/1/1998,"81,943","81,235",708,"34,554","22,681","10,005","1,868","33,068",4.30%,2.457
,1/1/1999,"84,060","83,286",774,"34,747","22,829","10,046","1,872","33,289",4.20%,2.502
,1/1/2000,"84,942","84,102",840,"34,823","22,850","10,096","1,877","33,398",4.09%,2.518
,4/1/2000,"85,071","84,214",857,"34,897","22,863","10,156","1,878","33,478",4.07%,2.516
,,,,,,,,,,,
Sacramento,4/1/1990,"29,802","23,082","6,720","9,418","6,906","1,626",886,"8,757",7.02%,2.636
Folsom,1/1/1991,"33,112","25,526","7,586","10,249","7,732","1,633",884,"9,567",6.65%,2.668
,1/1/1992,"35,837","28,429","7,408","11,278","8,025","2,371",882,"10,573",6.25%,2.689
,1/1/1993,"37,396","29,764","7,632","11,803","8,563","2,363",877,"11,109",5.88%,2.679
,1/1/1994,"38,553","31,055","7,498","12,375","9,146","2,355",874,"11,690",5.54%,2.657
,1/1/1995,"38,859","31,827","7,032","12,964","9,747","2,345",872,"12,286",5.23%,2.591
,1/1/1996,"40,284","33,073","7,211","13,552","10,347","2,335",870,"12,883",4.94%,2.567
,1/1/1997,"41,877","34,819","7,058","14,210","11,018","2,325",867,"13,543",4.69%,2.571
,1/1/1998,"43,388","36,166","7,222","14,976","11,796","2,315",865,"14,304",4.49%,2.528
,1/1/1999,"46,553","39,443","7,110","15,993","12,683","2,446",864,"15,298",4.35%,2.578
,1/1/2000,"50,943","44,032","6,911","17,610","13,804","2,944",862,"16,851",4.31%,2.613
,4/1/2000,"51,884","44,940","6,944","17,968","14,078","3,029",861,"17,196",4.30%,2.613
,,,,,,,,,,,
Sacramento,4/1/1990,"8,889","8,714",175,"3,073","2,162",550,361,"2,910",5.30%,2.995
Galt,1/1/1991,"9,550","9,376",174,"3,415","2,484",557,374,"3,241",5.10%,2.893
,1/1/1992,"11,125","10,952",173,"3,853","2,898",574,381,"3,665",4.88%,2.988
,1/1/1993,"13,043","12,872",171,"4,435","3,482",573,380,"4,225",4.74%,3.047
,1/1/1994,"14,124","13,954",170,"4,739","3,789",571,379,"4,522",4.58%,3.086
,1/1/1995,"15,373","15,183",190,"5,183","4,181",624,378,"4,951",4.48%,3.067
,1/1/1996,"16,100","15,911",189,"5,405","4,336",692,377,"5,170",4.35%,3.078
,1/1/1997,"16,748","16,561",187,"5,551","4,484",691,376,"5,318",4.20%,3.114
,1/1/1998,"17,310","17,121",189,"5,769","4,707",688,374,"5,533",4.09%,3.094
,1/1/1999,"18,215","18,025",190,"5,911","4,852",686,373,"5,678",3.94%,3.175
,1/1/2000,"19,304","19,116",188,"6,167","5,112",683,372,"5,929",3.86%,3.224
,4/1/2000,"19,472","19,284",188,"6,211","5,157",682,372,"5,974",3.82%,3.228
,,,,,,,,,,,
Sacramento,4/1/1990,833,820,13,352,232,74,46,328,6.82%,2.500
Isleton,1/1/1991,845,833,12,356,233,77,46,331,7.02%,2.517
,1/1/1992,836,825,11,354,230,78,46,327,7.63%,2.523
,1/1/1993,847,838,9,360,232,82,46,331,8.06%,2.532
,1/1/1994,836,828,8,364,231,87,46,333,8.52%,2.486
,1/1/1995,816,809,7,368,231,91,46,336,8.70%,2.408
,1/1/1996,812,806,6,371,229,95,47,337,9.16%,2.392
,1/1/1997,816,812,4,374,227,100,47,338,9.63%,2.402
,1/1/1998,803,800,3,377,226,104,47,340,9.81%,2.353
,1/1/1999,820,818,2,380,225,108,47,341,10.26%,2.399
,1/1/2000,829,829,0,383,224,112,47,343,10.44%,2.417
,4/1/2000,828,828,0,384,224,113,47,343,10.68%,2.414
,,,,,,,,,,,
Sacramento,4/1/1990,"369,365","361,227","8,138","153,362","98,221","51,786","3,355","144,444",5.81%,2.501
Sacramento,1/1/1991,"373,014","364,320","8,694","156,204","100,315","52,512","3,377","147,320",5.69%,2.473
,1/1/1992,"380,586","371,931","8,655","158,148","101,860","52,883","3,405","149,418",5.52%,2.489
,1/1/1993,"384,009","375,297","8,712","159,674","103,270","52,900","3,504","151,122",5.36%,2.483
,1/1/1994,"386,258","377,338","8,920","161,252","104,409","53,308","3,535","152,865",5.20%,2.468
,1/1/1995,"383,720","374,701","9,019","162,189","105,223","53,387","3,579","154,022",5.04%,2.433
,1/1/1996,"384,090","374,961","9,129","163,059","105,993","53,458","3,608","155,108",4.88%,2.417
,1/1/1997,"387,440","378,339","9,101","163,872","106,673","53,562","3,637","156,140",4.72%,2.423
,1/1/1998,"401,411","392,430","8,981","162,087","105,777","52,704","3,606","152,051",6.19%,2.581
,1/1/1999,"400,665","391,622","9,043","162,835","106,312","52,888","3,635","153,199",5.92%,2.556
,1/1/2000,"406,397","397,472","8,925","163,679","107,015","53,000","3,664","154,255",5.76%,2.577
,4/1/2000,"407,018","398,016","9,002","163,957","107,257","53,029","3,671","154,581",5.72%,2.575
,,,,,,,,,,,
Sacramento,4/1/1990,"408,889","393,843","15,046","166,205","107,521","54,036","4,648","156,439",5.88%,2.518
Incorporated,1/1/1991,"416,521","400,055","16,466","170,224","110,764","54,779","4,681","160,459",5.74%,2.493
,1/1/1992,"428,384","412,137","16,247","173,633","113,013","55,906","4,714","163,983",5.56%,2.513
,1/1/1993,"435,295","418,771","16,524","176,272","115,547","55,918","4,807","166,787",5.38%,2.511
,1/1/1994,"439,771","423,175","16,596","178,730","117,575","56,321","4,834","169,410",5.21%,2.498
,1/1/1995,"438,768","422,520","16,248","180,704","119,382","56,447","4,875","171,595",5.04%,2.462
,1/1/1996,"441,286","424,751","16,535","182,387","120,905","56,580","4,902","173,498",4.87%,2.448
,1/1/1997,"530,096","513,108","16,988","218,544","145,071","66,682","6,791","208,354",4.66%,2.463
,1/1/1998,"544,855","527,752","17,103","217,763","145,187","65,816","6,760","205,296",5.73%,2.571
,1/1/1999,"550,313","533,194","17,119","219,866","146,901","66,174","6,791","207,805",5.49%,2.566
,1/1/2000,"562,415","545,551","16,864","222,662","149,005","66,835","6,822","210,776",5.34%,2.588
,4/1/2000,"564,273","547,282","16,991","223,417","149,579","67,009","6,829","211,572",5.30%,2.587
,,,,,,,,,,,
Sacramento,4/1/1990,"632,330","625,232","7,098","251,369","171,223","69,877","10,269","238,091",5.28%,2.626
Balance of County,1/1/1991,"646,896","639,679","7,217","258,499","176,935","71,332","10,232","245,138",5.17%,2.609
,1/1/1992,"659,968","652,598","7,370","262,179","179,920","71,994","10,265","248,934",5.05%,2.622
,1/1/1993,"668,549","661,340","7,209","265,573","183,091","72,181","10,301","252,167",5.05%,2.623
,1/1/1994,"673,990","666,726","7,264","268,491","185,669","72,399","10,423","254,570",5.18%,2.619
,1/1/1995,"679,811","672,328","7,483","271,801","188,854","72,638","10,309","258,128",5.03%,2.605
,1/1/1996,"686,414","678,617","7,797","274,380","191,461","72,577","10,342","260,975",4.89%,2.600
,1/1/1997,"611,822","603,924","7,898","241,917","170,921","62,455","8,541","230,591",4.68%,2.619
,1/1/1998,"612,585","604,342","8,243","244,367","173,254","62,495","8,618","233,335",4.51%,2.590
,1/1/1999,"634,819","626,469","8,350","246,015","174,984","62,431","8,600","236,504",3.87%,2.649
,1/1/2000,"654,804","646,364","8,440","250,486","178,786","63,066","8,634","241,064",3.76%,2.681
,4/1/2000,"659,226","650,722","8,504","251,397","179,729","63,013","8,655","242,030",3.73%,2.689
,,,,,,,,,,,
Sacramento,4/1/1990,"1,041,219","1,019,075","22,144","417,574","278,744","123,913","14,917","394,530",5.52%,2.583
County Total,1/1/1991,"1,063,417","1,039,734","23,683","428,723","287,699","126,111","14,913","405,597",5.39%,2.563
,1/1/1992,"1,088,352","1,064,735","23,617","435,812","292,933","127,900","14,979","412,917",5.25%,2.579
,1/1/1993,"1,103,844","1,080,111","23,733","441,845","298,638","128,099","15,108","418,954",5.18%,2.578
,1/1/1994,"1,113,761","1,089,901","23,860","447,221","303,244","128,720","15,257","423,980",5.20%,2.571
,1/1/1995,"1,118,579","1,094,848","23,731","452,505","308,236","129,085","15,184","429,723",5.03%,2.548
,1/1/1996,"1,127,700","1,103,368","24,332","456,767","312,366","129,157","15,244","434,473",4.88%,2.540
,1/1/1997,"1,141,918","1,117,032","24,886","460,461","315,992","129,137","15,332","438,945",4.67%,2.545
,1/1/1998,"1,157,440","1,132,094","25,346","462,130","318,441","128,311","15,378","438,631",5.08%,2.581
,1/1/1999,"1,185,132","1,159,663","25,469","465,881","321,885","128,605","15,391","444,309",4.63%,2.610
,1/1/2000,"1,217,219","1,191,915","25,304","473,148","327,791","129,901","15,456","451,840",4.50%,2.638
,4/1/2000,"1,223,499","1,198,004","25,495","474,814","329,308","130,022","15,484","453,602",4.47%,2.641
,,,,,,,,,,,
San Benito,4/1/1990,"19,318","19,057",261,"6,257","4,504","1,488",264,"5,929",5.24%,3.214
Hollister,1/1/1991,"20,133","19,881",252,"6,457","4,647","1,543",267,"6,142",4.88%,3.237
,1/1/1992,"21,314","21,072",242,"6,616","4,788","1,557",271,"6,323",4.43%,3.333
,1/1/1993,"22,684","22,442",242,"6,859","4,983","1,600",276,"6,587",3.97%,3.407
,1/1/1994,"23,965","23,733",232,"7,206","5,305","1,621",280,"6,947",3.59%,3.416
,1/1/1995,"25,602","25,380",222,"7,601","5,661","1,656",284,"7,352",3.28%,3.452
,1/1/1996,"27,342","27,129",213,"8,007","6,029","1,690",288,"7,768",2.98%,3.492
,1/1/1997,"29,213","29,010",203,"8,384","6,395","1,697",292,"8,156",2.72%,3.557
,1/1/1998,"31,108","30,915",193,"8,856","6,857","1,702",297,"8,635",2.50%,3.580
,1/1/1999,"32,737","32,554",183,"9,290","7,282","1,707",301,"9,077",2.29%,3.586
,1/1/2000,"34,209","34,036",173,"9,817","7,792","1,720",305,"9,607",2.14%,3.543
,4/1/2000,"34,424","34,253",171,"9,928","7,902","1,720",306,"9,720",2.10%,3.524
,,,,,,,,,,,
San Benito,4/1/1990,"1,570","1,563",7,609,412,114,83,554,9.03%,2.821
San Juan Bautista,1/1/1991,"1,554","1,548",6,608,416,114,78,553,9.05%,2.799
,1/1/1992,"1,570","1,564",6,605,421,113,71,551,8.93%,2.838
,1/1/1993,"1,591","1,586",5,606,428,113,65,553,8.75%,2.868
,1/1/1994,"1,583","1,579",4,606,436,112,58,554,8.58%,2.850
,1/1/1995,"1,567","1,563",4,606,444,111,51,555,8.42%,2.816
,1/1/1996,"1,576","1,573",3,609,454,111,44,558,8.37%,2.819
,1/1/1997,"1,589","1,587",2,608,458,112,38,558,8.22%,2.844
,1/1/1998,"1,593","1,591",2,610,467,112,31,561,8.03%,2.836
,1/1/1999,"1,585","1,584",1,611,474,113,24,563,7.86%,2.813
,1/1/2000,"1,543","1,543",0,609,479,112,18,562,7.72%,2.746
,4/1/2000,"1,549","1,549",0,615,480,119,16,567,7.80%,2.732
,,,,,,,,,,,
San Benito,4/1/1990,"20,888","20,620",268,"6,866","4,916","1,602",347,"6,483",5.58%,3.181
Incorporated,1/1/1991,"21,687","21,429",258,"7,065","5,063","1,657",345,"6,695",5.24%,3.201
,1/1/1992,"22,884","22,636",248,"7,221","5,209","1,670",342,"6,874",4.81%,3.293
,1/1/1993,"24,275","24,028",247,"7,465","5,411","1,713",341,"7,140",4.35%,3.365
,1/1/1994,"25,548","25,312",236,"7,812","5,741","1,733",338,"7,501",3.98%,3.374
,1/1/1995,"27,169","26,943",226,"8,207","6,105","1,767",335,"7,907",3.66%,3.407
,1/1/1996,"28,918","28,702",216,"8,616","6,483","1,801",332,"8,326",3.37%,3.447
,1/1/1997,"30,802","30,597",205,"8,992","6,853","1,809",330,"8,714",3.09%,3.511
,1/1/1998,"32,701","32,506",195,"9,466","7,324","1,814",328,"9,196",2.85%,3.535
,1/1/1999,"34,322","34,138",184,"9,901","7,756","1,820",325,"9,640",2.64%,3.541
,1/1/2000,"35,752","35,579",173,"10,426","8,271","1,832",323,"10,169",2.46%,3.499
,4/1/2000,"35,973","35,802",171,"10,543","8,382","1,839",322,"10,287",2.43%,3.480
,,,,,,,,,,,
San Benito,4/1/1990,"15,809","15,391",418,"5,364","4,496",210,659,"4,939",7.92%,3.116
Balance of County,1/1/1991,"15,721","15,309",412,"5,363","4,509",203,651,"4,947",7.76%,3.095
,1/1/1992,"15,996","15,592",404,"5,350","4,511",194,645,"4,946",7.55%,3.152
,1/1/1993,"16,169","15,774",395,"5,374","4,550",184,640,"4,979",7.35%,3.168
,1/1/1994,"16,103","15,716",387,"5,386","4,587",175,624,"5,002",7.13%,3.142
,1/1/1995,"16,141","15,762",379,"5,421","4,641",165,615,"5,045",6.94%,3.124
,1/1/1996,"16,268","15,897",371,"5,457","4,699",157,601,"5,090",6.73%,3.123
