"E-8 City/County/State Population and Housing Estimates, 4/1/2000 to 4/1/2010",,,,,,,,,,,,
,,POPULATION,,, HOUSING UNITS,,,,,,,
,1/1/2010,"83,382","82,886",496,"35,085","22,366","10,896","1,823","32,720","2,365",6.74%,2.533
,4/1/2010,"83,301","82,815",486,"35,075","22,341","10,912","1,822","32,686","2,389",6.81%,2.534
,,,,,,,,,,,,
Sacramento,4/1/2000,0,0,0,0,0,0,0,0,0,0.00%,0.000
Elk Grove,1/1/2001,"76,298","76,011",287,"25,211","23,157","1,781",273,"24,536",675,2.68%,3.098
,1/1/2002,"82,932","82,359",573,"27,004","24,802","1,928",274,"26,139",865,3.20%,3.151
,1/1/2003,"88,954","88,374",580,"28,886","26,535","2,077",274,"27,830","1,056",3.66%,3.175
,1/1/2004,"113,391","112,889",502,"37,580","35,031","2,274",275,"36,124","1,456",3.87%,3.125
,1/1/2005,"125,703","125,117",586,"41,905","38,872","2,758",275,"40,196","1,709",4.08%,3.113
,1/1/2006,"135,996","135,458",538,"45,696","42,200","3,221",275,"43,747","1,949",4.27%,3.096
,1/1/2007,"142,003","141,240",763,"47,878","43,986","3,616",276,"45,625","2,253",4.71%,3.096
,1/1/2008,"146,083","145,388",695,"49,011","44,741","3,994",276,"46,680","2,331",4.76%,3.115
,1/1/2009,"149,302","148,679",623,"49,833","45,176","4,380",277,"47,332","2,501",5.02%,3.141
,1/1/2010,"152,652","151,877",775,"50,530","45,508","4,745",277,"47,862","2,668",5.28%,3.173
,4/1/2010,"153,015","152,346",669,"50,634","45,575","4,782",277,"47,927","2,707",5.35%,3.179
,,,,,,,,,,,,
Sacramento,4/1/2000,"51,884","44,940","6,944","17,968","14,078","3,029",861,"17,196",772,4.30%,2.613
Folsom,1/1/2001,"56,759","49,740","7,019","19,714","14,875","3,977",862,"18,864",850,4.31%,2.637
,1/1/2002,"59,186","52,359","6,827","20,611","15,759","3,989",863,"19,719",892,4.33%,2.655
,1/1/2003,"62,433","55,722","6,711","21,957","16,321","4,763",873,"21,004",953,4.34%,2.653
,1/1/2004,"64,396","57,673","6,723","22,768","17,035","4,857",876,"21,776",992,4.36%,2.648
,1/1/2005,"66,362","59,114","7,248","23,540","17,793","4,870",877,"22,511","1,029",4.37%,2.626
,1/1/2006,"67,936","60,619","7,317","24,373","18,461","5,034",878,"23,305","1,068",4.38%,2.601
,1/1/2007,"69,257","61,970","7,287","25,045","18,836","5,319",890,"23,944","1,101",4.40%,2.588
,1/1/2008,"71,064","63,719","7,345","25,728","19,039","5,791",898,"24,594","1,134",4.41%,2.591
,1/1/2009,"71,625","64,437","7,188","25,934","19,201","5,834",899,"24,787","1,147",4.42%,2.600
,1/1/2010,"72,139","64,984","7,155","26,023","19,277","5,846",900,"24,869","1,154",4.43%,2.613
,4/1/2010,"72,203","65,243","6,960","26,109","19,321","5,887",901,"24,951","1,158",4.44%,2.615
,,,,,,,,,,,,
Sacramento,4/1/2000,"19,472","19,284",188,"6,211","5,157",682,372,"5,974",237,3.82%,3.228
Galt,1/1/2001,"20,047","19,862",185,"6,347","5,326",650,371,"6,095",252,3.97%,3.259
,1/1/2002,"20,925","20,744",181,"6,592","5,537",686,369,"6,320",272,4.13%,3.282
,1/1/2003,"21,843","21,666",177,"6,901","5,831",702,368,"6,604",297,4.30%,3.281
,1/1/2004,"21,952","21,779",173,"6,960","5,935",659,366,"6,648",312,4.48%,3.276
,1/1/2005,"22,485","22,316",169,"7,201","6,222",615,364,"6,869",332,4.61%,3.249
,1/1/2006,"22,628","22,462",166,"7,329","6,394",572,363,"6,979",350,4.78%,3.219
,1/1/2007,"22,996","22,834",162,"7,499","6,610",528,361,"7,130",369,4.92%,3.203
,1/1/2008,"23,371","23,213",158,"7,627","6,782",485,360,"7,241",386,5.06%,3.206
,1/1/2009,"23,584","23,430",154,"7,683","6,883",442,358,"7,282",401,5.22%,3.218
,1/1/2010,"23,654","23,504",150,"7,678","6,924",398,356,"7,265",413,5.38%,3.235
,4/1/2010,"23,647","23,498",149,"7,678","6,935",387,356,"7,262",416,5.42%,3.236
,,,,,,,,,,,,
Sacramento,4/1/2000,828,828,0,384,224,113,47,343,41,10.68%,2.414
Isleton,1/1/2001,835,835,0,388,226,114,48,342,46,11.86%,2.442
,1/1/2002,840,840,0,392,227,115,50,342,50,12.76%,2.456
,1/1/2003,838,838,0,397,229,117,51,341,56,14.11%,2.457
,1/1/2004,831,831,0,400,229,118,53,338,62,15.50%,2.459
,1/1/2005,811,811,0,398,228,115,55,333,65,16.33%,2.435
,1/1/2006,802,802,0,403,231,116,56,332,71,17.62%,2.416
,1/1/2007,800,800,0,410,235,117,58,333,77,18.78%,2.402
,1/1/2008,800,800,0,414,236,119,59,333,81,19.57%,2.402
,1/1/2009,802,802,0,419,238,120,61,332,87,20.76%,2.416
,1/1/2010,805,805,0,424,239,122,63,331,93,21.93%,2.432
,4/1/2010,804,804,0,425,240,122,63,331,94,22.12%,2.429
,,,,,,,,,,,,
Sacramento,4/1/2000,0,0,0,0,0,0,0,0,0,0.00%,0.000
Rancho Cordova,1/1/2001,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2002,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2003,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2004,"54,979","54,638",341,"21,534","12,414","7,684","1,436","20,237","1,297",6.02%,2.700
,1/1/2005,"55,476","55,138",338,"21,908","12,759","7,701","1,448","20,505","1,403",6.40%,2.689
,1/1/2006,"56,866","56,530",336,"22,666","13,491","7,714","1,461","21,140","1,526",6.73%,2.674
,1/1/2007,"59,502","59,169",333,"23,839","14,639","7,727","1,473","22,171","1,668",7.00%,2.669
,1/1/2008,"61,526","61,195",331,"24,625","15,352","7,787","1,486","22,833","1,792",7.28%,2.680
,1/1/2009,"62,724","62,396",328,"25,019","15,680","7,841","1,498","23,120","1,899",7.59%,2.699
,1/1/2010,"64,024","63,698",326,"25,405","16,040","7,854","1,511","23,400","2,005",7.89%,2.722
,4/1/2010,"64,776","64,451",325,"25,479","16,108","7,857","1,514","23,448","2,031",7.97%,2.749
,,,,,,,,,,,,
Sacramento,4/1/2000,"407,018","398,016","9,002","163,957","107,257","53,029","3,671","154,581","9,376",5.72%,2.575
Sacramento,1/1/2001,"412,918","403,844","9,074","164,938","108,314","52,990","3,634","155,103","9,835",5.96%,2.604
,1/1/2002,"423,084","414,029","9,055","168,041","110,929","53,525","3,587","157,493","10,548",6.28%,2.629
,1/1/2003,"429,918","420,842","9,076","171,228","112,998","54,687","3,543","159,991","11,237",6.56%,2.630
,1/1/2004,"436,799","427,835","8,964","174,502","115,765","55,241","3,496","162,542","11,960",6.85%,2.632
,1/1/2005,"442,662","433,946","8,716","178,771","118,680","56,639","3,452","166,059","12,712",7.11%,2.613
,1/1/2006,"445,774","437,128","8,646","182,123","121,007","57,713","3,403","168,717","13,406",7.36%,2.591
,1/1/2007,"452,711","444,122","8,589","186,426","124,060","59,012","3,354","171,996","14,430",7.74%,2.582
,1/1/2008,"458,965","450,526","8,439","188,822","125,267","60,250","3,305","173,958","14,864",7.87%,2.590
,1/1/2009,"463,633","455,290","8,343","190,309","126,041","61,012","3,256","174,826","15,483",8.14%,2.604
,1/1/2010,"466,740","458,404","8,336","190,981","126,264","61,511","3,206","174,825","16,156",8.46%,2.622
,4/1/2010,"466,488","458,174","8,314","190,911","126,261","61,456","3,194","174,624","16,287",8.53%,2.624
,,,,,,,,,,,,
Sacramento,4/1/2000,"564,273","547,282","16,991","223,417","149,579","67,009","6,829","211,572","11,845",5.30%,2.587
Incorporated,1/1/2001,"652,813","635,400","17,413","251,601","174,769","69,770","7,062","238,448","13,153",5.23%,2.665
,1/1/2002,"673,885","656,440","17,445","257,884","180,165","70,707","7,012","243,656","14,228",5.52%,2.694
,1/1/2003,"690,444","673,131","17,313","264,553","184,720","72,861","6,972","249,258","15,295",5.78%,2.701
,1/1/2004,"778,288","760,855","17,433","298,874","209,117","81,398","8,359","281,005","17,869",5.98%,2.708
,1/1/2005,"798,652","780,904","17,748","308,927","217,292","83,313","8,322","289,788","19,139",6.20%,2.695
,1/1/2006,"814,114","796,459","17,655","317,804","224,483","85,039","8,282","297,448","20,356",6.41%,2.678
,1/1/2007,"830,821","813,074","17,747","326,281","230,990","87,039","8,252","304,302","21,979",6.74%,2.672
,1/1/2008,"845,156","827,614","17,542","331,397","233,977","89,201","8,219","308,632","22,765",6.87%,2.682
,1/1/2009,"854,987","837,816","17,171","334,338","235,686","90,474","8,178","310,548","23,790",7.12%,2.698
,1/1/2010,"863,396","846,158","17,238","336,126","236,618","91,372","8,136","311,273","24,853",7.39%,2.718
,4/1/2010,"864,234","847,331","16,903","336,311","236,781","91,403","8,127","311,229","25,082",7.46%,2.723
,,,,,,,,,,,,
Sacramento,4/1/2000,"659,226","650,722","8,504","251,397","179,729","63,013","8,655","242,030","9,367",3.73%,2.689
Balance of County,1/1/2001,"595,259","587,244","8,015","228,739","158,568","61,835","8,336","219,157","9,582",4.19%,2.680
,1/1/2002,"605,703","597,851","7,852","231,530","161,298","61,956","8,276","221,056","10,474",4.52%,2.705
,1/1/2003,"616,745","608,968","7,777","236,390","165,420","62,676","8,294","224,880","11,510",4.87%,2.708
,1/1/2004,"553,622","546,270","7,352","212,866","150,528","55,494","6,844","201,525","11,341",5.33%,2.711
,1/1/2005,"551,871","544,594","7,277","214,463","151,892","55,709","6,862","202,212","12,251",5.71%,2.693
,1/1/2006,"551,100","543,898","7,202","216,691","153,104","56,745","6,842","203,505","13,186",6.09%,2.673
,1/1/2007,"549,351","542,224","7,127","217,628","153,922","56,893","6,813","203,558","14,070",6.47%,2.664
,1/1/2008,"549,354","542,301","7,053","218,360","154,558","57,028","6,774","203,413","14,947",6.85%,2.666
,1/1/2009,"551,181","544,203","6,978","218,844","154,873","57,252","6,719","203,029","15,815",7.23%,2.680
,1/1/2010,"553,863","546,960","6,903","219,261","155,143","57,450","6,668","202,582","16,679",7.61%,2.700
,4/1/2010,"554,554","547,670","6,884","219,621","155,216","57,752","6,653","202,716","16,905",7.70%,2.702
,,,,,,,,,,,,
Sacramento,4/1/2000,"1,223,499","1,198,004","25,495","474,814","329,308","130,022","15,484","453,602","21,212",4.47%,2.641
County Total,1/1/2001,"1,248,072","1,222,644","25,428","480,340","333,337","131,605","15,398","457,605","22,735",4.73%,2.672
,1/1/2002,"1,279,588","1,254,291","25,297","489,414","341,463","132,663","15,288","464,712","24,702",5.05%,2.699
,1/1/2003,"1,307,189","1,282,099","25,090","500,943","350,140","135,537","15,266","474,138","26,805",5.35%,2.704
,1/1/2004,"1,331,910","1,307,125","24,785","511,740","359,645","136,892","15,203","482,530","29,210",5.71%,2.709
,1/1/2005,"1,350,523","1,325,498","25,025","523,390","369,184","139,022","15,184","492,000","31,390",6.00%,2.694
,1/1/2006,"1,365,214","1,340,357","24,857","534,495","377,587","141,784","15,124","500,953","33,542",6.28%,2.676
,1/1/2007,"1,380,172","1,355,298","24,874","543,909","384,912","143,932","15,065","507,860","36,049",6.63%,2.669
,1/1/2008,"1,394,510","1,369,915","24,595","549,757","388,535","146,229","14,993","512,045","37,712",6.86%,2.675
,1/1/2009,"1,406,168","1,382,019","24,149","553,182","390,559","147,726","14,897","513,577","39,605",7.16%,2.691
,1/1/2010,"1,417,259","1,393,118","24,141","555,387","391,761","148,822","14,804","513,855","41,532",7.48%,2.711
,4/1/2010,"1,418,788","1,395,001","23,787","555,932","391,997","149,155","14,780","513,945","41,987",7.55%,2.714
,,,,,,,,,,,,
San Benito,4/1/2000,"34,424","34,253",171,"9,928","7,902","1,720",306,"9,720",208,2.10%,3.524
Hollister,1/1/2001,"34,908","34,741",167,"10,012","7,956","1,746",310,"9,778",234,2.34%,3.553
,1/1/2002,"35,656","35,495",161,"10,412","8,301","1,795",316,"10,137",275,2.64%,3.502
,1/1/2003,"35,878","35,722",156,"10,526","8,334","1,871",321,"10,217",309,2.94%,3.496
,1/1/2004,"35,737","35,587",150,"10,506","8,273","1,906",327,"10,165",341,3.25%,3.501
,1/1/2005,"35,476","35,332",144,"10,486","8,212","1,942",332,"10,113",373,3.56%,3.494
,1/1/2006,"35,199","35,060",139,"10,464","8,149","1,977",338,"10,059",405,3.87%,3.485
,1/1/2007,"35,039","34,906",133,"10,439","8,083","2,013",343,"10,003",436,4.18%,3.490
,1/1/2008,"34,994","34,866",128,"10,419","8,021","2,049",349,"9,950",469,4.50%,3.504
,1/1/2009,"34,843","34,721",122,"10,393","7,955","2,084",354,"9,892",501,4.82%,3.510
,1/1/2010,"34,942","34,826",116,"10,402","7,922","2,120",360,"9,869",533,5.12%,3.529
,4/1/2010,"34,928","34,813",115,"10,401","7,911","2,129",361,"9,860",541,5.20%,3.531
,,,,,,,,,,,,
San Benito,4/1/2000,"1,549","1,549",0,615,480,119,16,567,48,7.80%,2.732
San Juan Bautista,1/1/2001,"1,566","1,566",0,618,480,121,17,570,48,7.77%,2.747
,1/1/2002,"1,579","1,578",1,634,481,136,17,584,50,7.89%,2.702
,1/1/2003,"1,594","1,593",1,643,482,142,19,591,52,8.09%,2.695
,1/1/2004,"1,690","1,688",2,682,516,146,20,627,55,8.06%,2.692
,1/1/2005,"1,688","1,686",2,685,516,148,21,628,57,8.32%,2.685
,1/1/2006,"1,683","1,680",3,686,513,151,22,629,57,8.31%,2.671
,1/1/2007,"1,779","1,776",3,725,514,189,22,665,60,8.28%,2.671
,1/1/2008,"1,835","1,831",4,742,525,194,23,679,63,8.49%,2.697
,1/1/2009,"1,852","1,848",4,743,522,197,24,680,63,8.48%,2.718
,1/1/2010,"1,861","1,856",5,745,520,200,25,681,64,8.59%,2.725
,4/1/2010,"1,862","1,857",5,745,520,200,25,681,64,8.59%,2.727
,,,,,,,,,,,,
San Benito,4/1/2000,"35,973","35,802",171,"10,543","8,382","1,839",322,"10,287",256,2.43%,3.480
Incorporated,1/1/2001,"36,474","36,307",167,"10,630","8,436","1,867",327,"10,348",282,2.65%,3.509
,1/1/2002,"37,235","37,073",162,"11,046","8,782","1,931",333,"10,721",325,2.94%,3.458
,1/1/2003,"37,472","37,315",157,"11,169","8,816","2,013",340,"10,808",361,3.23%,3.453
,1/1/2004,"37,427","37,275",152,"11,188","8,789","2,052",347,"10,792",396,3.54%,3.454
,1/1/2005,"37,164","37,018",146,"11,171","8,728","2,090",353,"10,741",430,3.85%,3.446
,1/1/2006,"36,882","36,740",142,"11,150","8,662","2,128",360,"10,688",462,4.14%,3.438
,1/1/2007,"36,818","36,682",136,"11,164","8,597","2,202",365,"10,668",496,4.44%,3.439
,1/1/2008,"36,829","36,697",132,"11,161","8,546","2,243",372,"10,629",532,4.77%,3.453
,1/1/2009,"36,695","36,569",126,"11,136","8,477","2,281",378,"10,572",564,5.06%,3.459
,1/1/2010,"36,803","36,682",121,"11,147","8,442","2,320",385,"10,550",597,5.36%,3.477
,4/1/2010,"36,790","36,670",120,"11,146","8,431","2,329",386,"10,541",605,5.43%,3.479
,,,,,,,,,,,,
San Benito,4/1/2000,"17,261","16,925",336,"5,956","5,292",112,552,"5,598",358,6.01%,3.023
Balance of County,1/1/2001,"17,691","17,368",323,"6,089","5,432",112,545,"5,718",371,6.09%,3.037
,1/1/2002,"17,713","17,406",307,"6,226","5,577",114,535,"5,842",384,6.17%,2.979
,1/1/2003,"17,858","17,568",290,"6,328","5,687",115,526,"5,932",396,6.26%,2.962
,1/1/2004,"17,947","17,674",273,"6,393","5,766",115,512,"5,987",406,6.35%,2.952
,1/1/2005,"18,057","17,800",257,"6,485","5,866",116,503,"6,069",416,6.41%,2.933
,1/1/2006,"18,143","17,903",240,"6,571","5,951",117,503,"6,143",428,6.51%,2.914
,1/1/2007,"18,130","17,907",223,"6,599","5,989",118,492,"6,165",434,6.58%,2.905
,1/1/2008,"18,193","17,986",207,"6,637","6,036",119,482,"6,195",442,6.66%,2.903
,1/1/2009,"18,373","18,183",190,"6,677","6,086",120,471,"6,226",451,6.75%,2.920
,1/1/2010,"18,469","18,296",173,"6,718","6,136",121,461,"6,260",458,6.82%,2.923
,4/1/2010,"18,479","18,310",169,"6,724","6,144",121,459,"6,264",460,6.84%,2.923
,,,,,,,,,,,,
San Benito,4/1/2000,"53,234","52,727",507,"16,499","13,674","1,951",874,"15,885",614,3.72%,3.319
County Total,1/1/2001,"54,165","53,675",490,"16,719","13,868","1,979",872,"16,066",653,3.91%,3.341
,1/1/2002,"54,948","54,479",469,"17,272","14,359","2,045",868,"16,563",709,4.10%,3.289
,1/1/2003,"55,330","54,883",447,"17,497","14,503","2,128",866,"16,740",757,4.33%,3.279
,1/1/2004,"55,374","54,949",425,"17,581","14,555","2,167",859,"16,779",802,4.56%,3.275
,1/1/2005,"55,221","54,818",403,"17,656","14,594","2,206",856,"16,810",846,4.79%,3.261
,1/1/2006,"55,025","54,643",382,"17,721","14,613","2,245",863,"16,831",890,5.02%,3.247
,1/1/2007,"54,948","54,589",359,"17,763","14,586","2,320",857,"16,833",930,5.24%,3.243
,1/1/2008,"55,022","54,683",339,"17,798","14,582","2,362",854,"16,824",974,5.47%,3.250
,1/1/2009,"55,068","54,752",316,"17,813","14,563","2,401",849,"16,798","1,015",5.70%,3.259
,1/1/2010,"55,272","54,978",294,"17,865","14,578","2,441",846,"16,810","1,055",5.91%,3.271
,4/1/2010,"55,269","54,980",289,"17,870","14,575","2,450",845,"16,805","1,065",5.96%,3.272
,,,,,,,,,,,,
San Bernardino,4/1/2000,"18,130","16,638","1,492","5,547","3,917","1,137",493,"4,714",833,15.02%,3.529
Adelanto,1/1/2001,"18,512","16,955","1,557","5,575","3,946","1,140",489,"4,745",830,14.89%,3.573
,1/1/2002,"19,327","17,806","1,521","5,711","4,079","1,138",494,"4,869",842,14.74%,3.657
,1/1/2003,"20,326","18,789","1,537","5,912","4,277","1,142",493,"5,050",862,14.58%,3.721
,1/1/2004,"22,528","20,706","1,822","6,411","4,696","1,227",488,"5,483",928,14.48%,3.776
,1/1/2005,"24,855","22,950","1,905","7,047","5,333","1,231",483,"6,032","1,015",14.40%,3.805
,1/1/2006,"26,617","25,128","1,489","7,722","6,016","1,227",479,"6,614","1,108",14.35%,3.799
,1/1/2007,"29,181","27,631","1,550","8,560","6,856","1,230",474,"7,292","1,268",14.81%,3.789
,1/1/2008,"30,526","28,752","1,774","8,840","7,140","1,232",468,"7,579","1,261",14.26%,3.794
,1/1/2009,"31,087","29,241","1,846","8,952","7,252","1,236",464,"7,683","1,269",14.18%,3.806
,1/1/2010,"31,764","29,895","1,869","9,075","7,376","1,240",459,"7,797","1,278",14.08%,3.834
,4/1/2010,"31,765","30,012","1,753","9,086","7,387","1,241",458,"7,809","1,277",14.05%,3.843
,,,,,,,,,,,,
San Bernardino,4/1/2000,"54,239","53,876",363,"20,163","15,678","3,451","1,034","18,557","1,606",7.97%,2.903
Apple Valley,1/1/2001,"55,269","54,899",370,"20,513","15,946","3,503","1,064","18,854","1,659",8.09%,2.912
,1/1/2002,"56,890","56,510",380,"20,909","16,287","3,519","1,103","19,184","1,725",8.25%,2.946
,1/1/2003,"58,665","58,275",390,"21,448","16,770","3,535","1,143","19,646","1,802",8.40%,2.966
,1/1/2004,"61,005","60,605",400,"22,193","17,452","3,555","1,186","20,298","1,895",8.54%,2.986
,1/1/2005,"63,117","62,707",410,"22,985","18,174","3,584","1,227","20,993","1,992",8.67%,2.987
,1/1/2006,"66,490","66,071",419,"24,425","19,419","3,736","1,270","22,285","2,140",8.76%,2.965
,1/1/2007,"69,127","68,698",429,"25,621","20,427","3,884","1,310","23,352","2,269",8.86%,2.942
,1/1/2008,"68,776","68,337",439,"25,792","20,543","3,899","1,350","23,376","2,416",9.37%,2.923
,1/1/2009,"68,828","68,379",449,"25,962","20,654","3,918","1,390","23,498","2,464",9.49%,2.910
,1/1/2010,"69,089","68,630",459,"26,089","20,728","3,932","1,429","23,581","2,508",9.61%,2.910
,4/1/2010,"69,135","68,674",461,"26,117","20,742","3,936","1,439","23,598","2,519",9.65%,2.910
,,,,,,,,,,,,
San Bernardino,4/1/2000,"21,119","20,724",395,"9,153","5,500","2,558","1,095","7,647","1,506",16.45%,2.710
Barstow,1/1/2001,"21,061","20,710",351,"9,097","5,464","2,559","1,074","7,609","1,488",16.36%,2.722
,1/1/2002,"22,274","21,820",454,"9,393","5,571","2,776","1,046","7,877","1,516",16.14%,2.770
,1/1/2003,"22,558","22,068",490,"9,464","5,632","2,794","1,038","7,929","1,535",16.22%,2.783
,1/1/2004,"22,554","22,189",365,"9,404","5,600","2,794","1,010","7,891","1,513",16.09%,2.812
,1/1/2005,"22,724","22,344",380,"9,462","5,605","2,875",982,"7,932","1,530",16.17%,2.817
,1/1/2006,"22,522","22,170",352,"9,467","5,636","2,877",954,"7,929","1,538",16.25%,2.796
,1/1/2007,"22,547","22,187",360,"9,531","5,647","2,958",926,"7,995","1,536",16.12%,2.775
,1/1/2008,"22,361","22,016",345,"9,510","5,637","2,975",898,"7,979","1,531",16.10%,2.759
,1/1/2009,"22,565","22,195",370,"9,587","5,646","3,071",870,"8,072","1,515",15.80%,2.750
,1/1/2010,"22,513","22,138",375,"9,556","5,643","3,071",842,"8,039","1,517",15.87%,2.754
,4/1/2010,"22,639","22,271",368,"9,555","5,648","3,072",835,"8,085","1,470",15.38%,2.755
,,,,,,,,,,,,
San Bernardino,4/1/2000,"5,438","5,413",25,"8,705","7,621",701,383,"2,343","6,362",73.08%,2.310
Big Bear Lake,1/1/2001,"5,468","5,443",25,"8,851","7,690",769,392,"2,350","6,501",73.45%,2.316
,1/1/2002,"5,498","5,473",25,"8,959","7,765",792,402,"2,336","6,623",73.93%,2.343
,1/1/2003,"5,529","5,504",25,"9,106","7,860",833,413,"2,334","6,772",74.37%,2.358
,1/1/2004,"5,556","5,531",25,"9,249","7,967",856,426,"2,330","6,919",74.81%,2.374
,1/1/2005,"5,521","5,496",25,"9,355","8,035",884,436,"2,316","7,039",75.24%,2.373
,1/1/2006,"5,414","5,388",26,"9,430","8,077",908,445,"2,293","7,137",75.68%,2.350
,1/1/2007,"5,309","5,283",26,"9,515","8,130",930,455,"2,273","7,242",76.11%,2.324
,1/1/2008,"5,227","5,201",26,"9,609","8,182",959,468,"2,257","7,352",76.51%,2.304
,1/1/2009,"5,136","5,110",26,"9,676","8,213",983,480,"2,232","7,444",76.93%,2.289
,1/1/2010,"5,048","5,022",26,"9,703","8,204","1,006",493,"2,197","7,506",77.36%,2.286
,4/1/2010,"5,019","4,993",26,"9,705","8,198","1,012",495,"2,187","7,518",77.47%,2.283
,,,,,,,,,,,,
San Bernardino,4/1/2000,"67,168","59,352","7,816","17,898","13,414","3,956",528,"17,304",594,3.32%,3.430
Chino,1/1/2001,"67,132","59,734","7,398","17,997","13,535","3,929",533,"17,377",620,3.45%,3.438
,1/1/2002,"67,820","60,696","7,124","18,122","13,682","3,900",540,"17,468",654,3.61%,3.475
,1/1/2003,"68,819","61,946","6,873","18,411","13,994","3,869",548,"17,717",694,3.77%,3.496
,1/1/2004,"73,163","63,051","10,112","18,665","14,263","3,847",555,"17,933",732,3.92%,3.516
,1/1/2005,"74,463","64,235","10,228","19,056","14,635","3,859",562,"18,280",776,4.07%,3.514
,1/1/2006,"75,584","65,303","10,281","19,581","15,125","3,887",569,"18,758",823,4.20%,3.481
